uid1	uid2	weight
1328503049	1526231947	1
1328503049	100001065211356	1
1328503049	1434465613	1
1526670301	1611201410	1
1526670301	100000316095780	1
1526670301	100000766269068	1
1526670301	1585125970	1
1526670301	1558276911	1
1526670301	1759784240	1
1526670301	100000635016978	1
1526670301	100002151140698	1
1526670301	100000403926111	1
100000858456331	100002151140698	1
100000858456331	100002904201228	2.55479287314
100000858456331	100001284640381	1
708004624	1346916216	1
708004624	1077138040	1
708004624	1585125970	1
708004624	1277862516	1
708004624	1654943022	1
100000635016978	100000766269068	1
1516252771	1617340089	1
1516252771	1585125970	1
1516252771	1628973322	1
1516252771	1551173790	4.79694555303
582508078	1585125970	1
1410131225	1465542499	1
1410131225	1484063117	1
1410131225	1614127725	1
1410131225	1585125970	1
1410131225	100004338640952	1
1410131225	100000581184827	1
1407062063	1516252771	1
1407062063	1628973322	1
1407062063	1526231947	1
1407062063	1585125970	1
1407062063	1498635154	1
1407062063	1617340089	1
1407062063	1473401469	1
1407062063	1551173790	1
100000248112924	100005008060766	1.47514968214
100000248112924	100003014259015	1.95162596369
100000095530970	100000403926111	1
748771615	100001284640381	1
748771615	1585125970	1
748771615	1354387028	1
748771615	1408609238	1
748771615	748963482	1
748771615	1541409370	1
786544417	1585125970	1
786544417	1591726455	1
694595874	1585125970	1
532286755	694595874	1
532286755	598968790	1
532286755	686094791	1
532286755	1119256839	1
532286755	1526231947	1
532286755	1484063117	1
532286755	648957902	1
532286755	672758001	1
532286755	1498635154	1
532286755	1585125970	1
532286755	663600689	1
532286755	1408609238	1
532286755	652176186	1
532286755	647091579	1
532286755	550477980	1
100000316095780	100000766269068	1
100000316095780	100000635016978	1
100000316095780	100000482383891	1
100000316095780	100002151140698	1
100000316095780	100001214229338	1
100000316095780	100000403926111	1
1321472902	1585125970	1
1321472902	1659943748	1
640288042	100000569553249	1
640288042	1297997256	1
640288042	100000523153161	1
640288042	1585125970	1
640288042	1623275317	1.57037503771
640288042	1686766391	1
640288042	100000403926111	1
640288042	1567274463	1
1654943022	100000257541129	1
1654943022	100000248112924	1.44271626233
1558276911	100000316095780	1
1558276911	100002133748936	1
